TagID,LastObs,AssignSpawnSite,AssignSpawnNode,TagPath,FacilityName,LadCode,PassDate,PassTime,SppCode,CarcassNo,PitTag,JvPitTag,Status,Origin,Age,Sex,Forklgth,Pohlgth,Mehlgth,Weight,AdClip
3DD.003D2F9781,2020-02-18T22:57:14Z,SAT,SATA0,"PRO, SATB0, SATA0, SATB0",Prosser,pb,2019-11-16T00:00:00Z,-2209024080,wsth,NA,3DD.003D2F9781,NA,PAS,NA,NA,F,74,NA,54,3.64,NA
3DD.003D2F9782,2020-05-05T10:29:57Z,BCC,BelowJD1,"PRO, BelowJD1",Prosser,pb,2019-10-26T00:00:00Z,-2209013880,wsth,NA,3DD.003D2F9782,3D9.1C2D6E8041,PAS,--,NA,F,79,NA,59,9.1,NA
3DD.003D2F9783,2020-10-20T11:00:00Z,PRO,PRO,PRO,Prosser,pb,2019-10-15T00:00:00Z,-2209013280,wsth,NA,3DD.003D2F9783,NA,PAS,NA,NA,M,72,NA,53,7.4,NA
3DD.003D2F9785,2020-04-18T15:17:04Z,LNR,LNR,"PRO, SUNB0, SUNA0, LNR",Prosser,pb,2019-11-14T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F9785,NA,PAS,NA,NA,M,60,NA,51,4.05,NA
3DD.003D2F9786,2020-01-04T03:48:40Z,TOP,TOPA0,"PRO, TOPB0, TOPA0, TOPB0, TOPA0",Prosser,pb,2019-10-21T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F9786,NA,PAS,NA,NA,F,80,NA,65,9.55,NA
3DD.003D2F9788,2020-04-16T07:00:40Z,SAT,SATA0,"PRO, SATB0, SATA0, SATB0",Prosser,pb,2019-10-08T00:00:00Z,-2209013280,wsth,NA,3DD.003D2F9788,NA,PAS,NA,NA,M,66,NA,41,3.35,NA
3DD.003D2F978B,2020-01-25T04:35:25Z,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2019-10-07T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F978B,NA,PAS,NA,NA,F,71,NA,61,7.58,NA
3DD.003D2F978D,2019-10-18T12:57:18Z,PRO,PRO,PRO,Prosser,pb,2019-10-18T00:00:00Z,-2209027680,wsth,NA,3DD.003D2F978D,NA,PAS,NA,NA,F,60,NA,50,4,NA
3DD.003D2F978F,2019-10-24T14:46:31Z,PRO,PRO,PRO,Prosser,pb,2019-10-21T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F978F,NA,PAS,NA,NA,NA,63,NA,50,5.1,NA
3DD.003D2F9791,2020-04-13T01:58:34Z,AH1,AH1A0,"PRO, SUNB0, AH1B0, AH1A0, AH1B0, PRO",Prosser,pb,2019-11-25T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F9791,NA,PAS,NA,NA,NA,64,NA,53,5.2,NA
