TagID,LastObs,AssignSpawnSite,AssignSpawnNode,TagPath,FacilityName,LadCode,PassDate,PassTime,SppCode,CarcassNo,Status,Origin,Age,Sex,Forklgth,Pohlgth,Mehlgth,Weight
3D9.1C2D885135,2019-04-04 08:15:02,PRO,PRO,PRO,Prosser,pb,2019-04-04T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,57,NA,47,0
3D9.1C2D885FAD,2019-05-05 12:07:34,AH1,AH1A0,"PRO, SUNB0, AH1B0, AH1A0",Prosser,pb,2019-04-29T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,60,NA,50,4.5
3D9.1C2D8862DF,2019-05-05 23:44:54,AH1,AH1A0,"PRO, AH1B0, AH1A0",Prosser,pb,2019-04-29T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,59,NA,50,4.2
3D9.1C2D88755F,2019-04-19 04:05:06,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2019-04-06T00:00:00Z,0.4666666666666666,wsth,NA,PAS,NA,NA,F,71,NA,57,7.1
3D9.1C2D8879C2,2019-04-23 04:58:15,SAT,SATA0,"PRO, SATB0, SATA0, SATB0",Prosser,pb,2019-04-05T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,57,NA,47,4
3D9.1C2D888DB2,2019-05-04 13:37:25,PRO,PRO,PRO,Prosser,pb,2019-05-04T00:00:00Z,0.5916666666666667,wsth,NA,PAS,NA,NA,F,55,NA,45,3.5
3D9.1C2D8892C8,2019-04-18 20:08:05,AH1,AH1A0,"PRO, AH1B0, AH1A0",Prosser,pb,2019-04-09T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,71,NA,57,8
3D9.1C2D88A399,2019-04-20 11:03:10,SAT,SATA0,"PRO, SATB0, SATA0, SATB0",Prosser,pb,2019-04-19T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,69,NA,57,7.05
3D9.1C2D88B163,2019-04-06 15:48:26,SAT,SATA0,"PRO, SATB0, SATA0, PRO",Prosser,pb,2019-04-05T00:00:00Z,0.3416666666666666,hsth,NA,PAS,NA,NA,M,62,NA,49,4.35
3D9.1C2D88B1DD,2019-05-07 13:02:54,LNR,LNR,"PRO, LNR",Prosser,pb,2019-05-01T00:00:00Z,0.3,wsth,NA,PAS,NA,NA,M,65,NA,53,5.4
3D9.1C2D88C25B,2019-04-19 03:24:30,SAT,SATB0,"PRO, SATB0",Prosser,pb,2019-04-01T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,73,NA,60,7.2
3D9.1C2D88DCB0,2019-05-07 09:55:46,LNR,LNR,"PRO, LNR",Prosser,pb,2019-04-29T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,58,NA,45,4
3D9.1C2D88E364,2019-04-19 07:18:20,PRO,PRO,PRO,Prosser,pb,2019-04-19T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,54,NA,44,3.15
3D9.1C2D88E38E,2019-04-18 07:16:39,LNR,LNR,"PRO, LNR",Prosser,pb,2019-04-03T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,59,NA,47,4.8
3D9.1C2D8A6B3B,2019-04-16 20:43:52,LNR,LNR,"PRO, LNR, PRO",Prosser,pb,2019-04-01T00:00:00Z,0.37777777777777777,wsth,NA,PAS,--,NA,F,80,NA,65,10.9
3D9.1C2D8A8591,2019-04-16 06:52:34,PRO,PRO,PRO,Prosser,pb,2019-04-16T00:00:00Z,0.3,wsth,NA,PAS,NA,NA,M,59,NA,47,4.2
3D9.1C2D8A9C13,2019-04-22 18:27:00,LNR,LNR,"PRO, SUNB0, LNR",Prosser,pb,2019-04-04T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,71,NA,59,0
3DD.007736D475,2019-04-02 00:04:48,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2018-10-24T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,76,NA,59,9.75
3DD.007736D7A6,2019-05-06 11:00:00,PRO,PRO,PRO,Prosser,pb,2018-12-03T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,69,NA,56,6.45
3DD.007736D7DD,2019-03-16 01:58:31,SAT,SATB0,"PRO, SATB0",Prosser,pb,2018-10-17T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,76,NA,60,8
3DD.007736D86D,2018-10-19 14:04:09,PRO,PRO,PRO,Prosser,pb,2018-10-19T00:00:00Z,0.6333333333333333,wsth,NA,PAS,NA,NA,M,65,NA,48,6.6
3DD.007736D8C7,2019-03-31 21:58:35,LNR,LNR,"PRO, LNR",Prosser,pb,2018-10-30T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,72,NA,55,7
3DD.007736D96B,2019-03-22 17:35:15,AH1,AH1A0,"PRO, AH1B0, AH1A0",Prosser,pb,2018-09-12T00:00:00Z,0.37777777777777777,wsth,NA,PAS,--,NA,F,59,NA,45,5.1
3DD.007736DA45,2019-04-03 05:48:14,LNR,LNR,"PRO, SUNB0, SUNA0, LNR, PRO",Prosser,pb,2018-10-21T00:00:00Z,0.425,wsth,NA,PAS,NA,NA,F,73,NA,55,8
3DD.007736DA7D,2019-03-22 17:37:21,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0",Prosser,pb,2018-10-16T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,54,NA,40,4.5
3DD.007736DCE9,2019-01-26 01:29:37,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2018-11-05T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,69,NA,51,7
