"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3DD.003D2C970D","Steelhead","Unknown","Mark","Dam","PRO","10/13/2020 5:27:43 PM","NA","0","PROTAL","10/13/2020 5:27:43 PM","1"
"3DD.003D2F93FD","Steelhead","Unknown","Mark","Dam","PRO","2/22/2021 2:48:38 PM","NA","0","PROTAL","2/22/2021 2:48:38 PM","1"
"3DD.003D2F9400","Steelhead","Unknown","Mark","Dam","PRO","11/25/2020 2:16:29 PM","NA","0","PROTAL","11/25/2020 2:16:29 PM","1"
"3DD.003D2F9402","Steelhead","Unknown","Mark","Dam","PRO","1/20/2021 8:42:31 AM","NA","0","PROTAL","1/20/2021 8:42:31 AM","1"
"3DD.003D2F9402","Steelhead","Unknown","Observation","Combined Dam Location","PRO","1/20/2021 9:35:03 AM","05","110","","","1"
"3DD.003D2F9402","Steelhead","Unknown","Observation","Combined Dam Location","PRO","1/20/2021 9:35:04 AM","05","110","","","1"
"3DD.003D2F9402","Steelhead","Unknown","Observation","Combined Dam Location","PRO","1/20/2021 9:35:09 AM","05","110","","","1"
"3DD.003D2F9402","Steelhead","Unknown","Observation","Combined Dam Location","PRO","1/20/2021 9:35:10 AM","05","110","","","1"
"3DD.003D2F9403","Steelhead","Unknown","Mark","Dam","PRO","2/3/2021 9:57:41 AM","NA","0","PROTAL","2/3/2021 9:57:41 AM","1"
"3DD.003D2F9403","Steelhead","Unknown","Observation","Juvenile Fish Bypass Facility","SSJ","3/29/2021 6:36:16 PM","01","110","","","1"
"3DD.003D2F9403","Steelhead","Unknown","Observation","Juvenile Fish Bypass Facility","SSJ","3/29/2021 6:36:55 PM","02","110","","","1"
"3DD.003D2F9403","Steelhead","Unknown","Observation","Juvenile Fish Bypass Facility","SSJ","3/29/2021 7:29:48 PM","05","110","","","1"
"3DD.003D2F9403","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","4/4/2021 4:25:52 PM","05","110","","","1"
"3DD.003D2F9403","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","4/4/2021 4:26:00 PM","03","110","","","1"
"3DD.003D2F9403","Steelhead","Unknown","Observation","Instream Remote Detection System","SUN","3/16/2021 3:32:32 PM","06","110","","","1"
"3DD.003D2F9404","Steelhead","Unknown","Mark","Dam","PRO","3/22/2021 1:17:58 PM","NA","0","PROTAL","3/22/2021 1:17:58 PM","1"
"3DD.003D2F9404","Steelhead","Unknown","Observation","Instream Remote Detection System","SUN","4/6/2021 9:40:22 PM","10","110","","","1"
"3DD.003D2F9404","Steelhead","Unknown","Observation","Instream Remote Detection System","SUN","4/6/2021 9:41:28 PM","08","110","","","1"
"3DD.003D2F9404","Steelhead","Unknown","Observation","Instream Remote Detection System","SUN","4/6/2021 9:45:28 PM","01","110","","","1"
"3DD.003D2F9406","Steelhead","Unknown","Mark","Dam","PRO","1/12/2021 8:44:21 AM","NA","0","PROTAL","1/12/2021 8:44:21 AM","1"
"3DD.003D2F9406","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","2/24/2021 12:06:05 AM","05","110","","","1"
"3DD.003D2F9406","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","2/24/2021 12:06:19 AM","03","110","","","1"
"3DD.003D2F9407","Steelhead","Unknown","Mark","Dam","PRO","1/14/2021 9:39:34 AM","NA","0","PROTAL","1/14/2021 9:39:34 AM","1"
"3DD.003D2F9407","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","2/23/2021 9:15:38 PM","05","110","","","1"
"3DD.003D2F9407","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","2/23/2021 9:15:53 PM","03","110","","","1"
"3DD.003D2F9407","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","4/12/2021 11:09:15 PM","03","110","","","1"
"3DD.003D2F9407","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","4/12/2021 11:09:19 PM","05","110","","","1"
"3DD.003D2F9407","Steelhead","Unknown","Recapture","Dam","PRO","4/19/2021 11:00:00 AM","NA","0","PROTAL","4/19/2021 11:00:00 AM","1"
"3DD.003D2F9407","Steelhead","Unknown","Recapture","Dam","PRO","10/28/2021 11:00:00 AM","NA","0","PROTAL","10/28/2021 11:00:00 AM","1"
"3DD.003D2F9409","Steelhead","Unknown","Mark","Dam","PRO","1/18/2021 2:17:38 PM","NA","0","PROTAL","1/18/2021 2:17:38 PM","1"
"3DD.003D2F9409","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","3/21/2021 12:21:06 AM","05","110","","","1"
"3DD.003D2F9409","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","3/21/2021 12:21:17 AM","03","110","","","1"
"3DD.003D2F9409","Steelhead","Unknown","Observation","Combined Dam Location","PRO","1/18/2021 2:25:24 PM","05","110","","","1"
"3DD.003D2F9409","Steelhead","Unknown","Observation","Combined Dam Location","PRO","1/18/2021 2:25:24 PM","06","110","","","1"
