"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"384.3B23952ECE","Steelhead","Unknown","Mark","Dam","PRO","9/14/2015 12:00:00 AM","NA","0","PROTAL","11/13/2015 12:00:00 AM","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","2/11/2016 6:29:52 PM","15","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","2/11/2016 6:30:12 PM","12","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","5/3/2017 11:30:35 PM","13","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 6:33:04 AM","24","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 6:33:09 AM","22","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 6:33:10 AM","22","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 6:33:18 AM","20","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 6:33:19 AM","20","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 6:40:28 AM","1D","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 6:41:45 AM","1B","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 6:43:57 AM","19","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 6:45:55 AM","17","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 6:47:02 AM","15","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 7:32:31 AM","04","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 7:32:32 AM","04","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 7:35:01 AM","03","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 7:35:02 AM","03","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 7:36:38 AM","02","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 7:36:39 AM","02","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","BO1","7/28/2016 7:37:37 AM","01","110","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:43:42 PM","12","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:43:43 PM","12","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:44:54 PM","10","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:47:55 PM","0E","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:48:32 PM","0C","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:48:33 PM","0C","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:50:22 PM","0A","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:50:23 PM","0A","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:54:41 PM","08","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:54:42 PM","08","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:56:51 PM","06","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 1:58:42 PM","04","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 3:37:49 PM","02","100","","","1"
"384.3B23952ECE","Steelhead","Unknown","Observation","Adult Fishway","MC1","9/12/2016 3:37:50 PM","02","100","","","1"
